prior,preadj_selection,condition,condition_long,category,clicked,obj_in_display_diff,obj_in_display,timeStep_selec,clickedType,obj_typ
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,t
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,t
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,aan,"contrast absent
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,aap,"contrast present
atypical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,a
none,FALSE,aan,"contrast absent
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,aan,"contrast absent
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
none,FALSE,aap,"contrast present
atypical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,a
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,t
none,FALSE,aap,"contrast present
atypical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,a
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,t
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,t
none,FALSE,aap,"contrast present
atypical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,a
none,FALSE,aap,"contrast present
atypical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,a
none,FALSE,aan,"contrast absent
atypical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,a
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,t
none,FALSE,aan,"contrast absent
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,t
none,FALSE,aap,"contrast present
atypical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,a
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,aan,"contrast absent
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
none,FALSE,aap,"contrast present
atypical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,a
none,FALSE,aan,"contrast absent
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,t
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,aan,"contrast absent
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
none,FALSE,aap,"contrast present
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,t
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,aap,"contrast present
atypical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,a
none,FALSE,aap,"contrast present
atypical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,a
none,FALSE,aan,"contrast absent
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
none,FALSE,aan,"contrast absent
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
none,FALSE,aan,"contrast absent
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
none,FALSE,aan,"contrast absent
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,t
none,FALSE,aap,"contrast present
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
none,FALSE,aap,"contrast present
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
none,FALSE,aan,"contrast absent
atypical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,a
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,t
none,FALSE,aap,"contrast present
atypical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,a
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,t
none,FALSE,aan,"contrast absent
atypical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,a
none,FALSE,aan,"contrast absent
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
none,FALSE,aap,"contrast present
atypical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,a
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,t
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,t
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,t
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,t
none,FALSE,aap,"contrast present
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,t
none,FALSE,aan,"contrast absent
atypical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,a
none,FALSE,aap,"contrast present
atypical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,a
none,FALSE,aap,"contrast present
atypical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,a
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,aan,"contrast absent
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,aap,"contrast present
atypical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,a
none,FALSE,aan,"contrast absent
atypical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,a
none,FALSE,aan,"contrast absent
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,aap,"contrast present
atypical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,a
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,t
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,t
none,FALSE,aan,"contrast absent
atypical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,a
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,aap,"contrast present
atypical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,a
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,aan,"contrast absent
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,t
none,FALSE,aap,"contrast present
atypical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,a
none,FALSE,aan,"contrast absent
atypical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,a
none,FALSE,aap,"contrast present
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,aap,"contrast present
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
none,FALSE,aan,"contrast absent
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,aap,"contrast present
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
none,FALSE,aap,"contrast present
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,t
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,t
none,FALSE,tap,"contrast present
typical target
atypical competitor",nopreadj_critical,1,target,target,selectedItem1,target,t
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,tan,"contrast absent
typical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,t
none,FALSE,aan,"contrast absent
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
none,FALSE,aan,"contrast absent
atypical target
atypical competitor",nopreadj_critical,0,target,target,selectedItem1,comp,a
